# %ECSV 0.9
# ---
# datatype:
# - {name: band, datatype: string}
# - {name: magnitude, unit: mag(AB), datatype: float64}
# - {name: e_magnitude, unit: mag(AB), datatype: float64}
# - {name: time, unit: d, datatype: float64}
# schema: astropy-2.0
band magnitude e_magnitude time
i 18.46 0.1 2.44947635417
r 19.29 0.12 2.44947635417
B 20.82 0.1 2.44999535416
R 18.81 0.05 2.44999535416
V 19.51 0.05 2.44999535416
Ks 17.67 0.03 2.45047635416
r 19.12 0.06 2.45102496416
u 22.2605680399 0.159378300537 2.45149455415
J1 17.52 0.01 2.45157635416
z 18.19 0.2 2.45347635417
r 18.78 0.03 2.45647635416
r 19.15 0.06 2.45647635416
i 18.37 0.03 2.45947635416
w 19.56 0.07 2.45947635416
I 18.4 0.13 2.45999535416
J 17.66 0.02 2.46047635416
z 18.01 0.13 2.46147635416
w 19.48 0.07 2.46347635416
Y 17.51 0.02 2.47047635417
V 19.51 0.08 2.47147635416
i 18.36 0.02 2.47147635416
i 18.46 0.1 2.47347635416
i 18.45 0.11 2.47747635416
r 18.93 0.02 2.48087635417
w 19.46 0.06 2.48747635417
V 19.53 0.12 2.48787635416
g 20.15 0.33 2.48847635416
J 17.76 0.02 2.49047635416
Ks 17.6 0.04 2.49047635416
w 19.36 0.05 2.49047635416
V 19.59 0.2 2.52517635416
B 19.93 "" 2.65539535417
i 18.44 0.09 2.70272635416
y 18.08 0.11 2.70272635416
z 18.31 0.07 2.70272635416
r 19.36 0.09 2.82847635417
I 18.62 0.1 2.82999535416
R 19.1 0.05 2.82999535416
i 18.53 0.13 2.83547635416
i 18.62 0.14 2.83847635416
w 19.68 0.05 2.84847635416
w 19.61 0.05 2.85247635416
r 19.34 0.08 2.85546941416
g 20.43 0.11 2.85686987417
i 18.7 0.18 2.86247635417
i 18.63 0.15 2.86647635416
r 19.37 0.09 2.86851339416
g 20.21 0.12 2.86991385416
w 19.53 0.07 2.87647635416
w 19.56 0.08 2.87947635417
r 19.18 0.12 2.95064302416
H 17.57 0.04 3.17047635416
J 17.78 0.05 3.17047635416
Ks 17.55 0.05 3.17047635416
I 18.73 0.11 3.18999535417
R 19.3 0.05 3.18999535417
r 19.75 0.12 3.19747635417
i 18.84 0.2 3.20447635416
i 18.76 0.15 3.20747635416
z 18.42 0.34 3.21147635416
w 20.13 0.13 3.21747635416
w 19.99 0.06 3.22147635416
r 19.52 0.13 3.24786635416
V 20.54 0.2 3.44017635416
J 17.85 0.01 3.44427635417
r 20.04 0.08 3.44449718417
H 17.72 0.07 3.44580635416
J 17.95 0.07 3.44580635416
K 17.86 0.1 3.44580635416
g 21.13 0.16 3.44580635416
i 19.03 0.01 3.44580635416
r 19.81 0.02 3.44580635416
z 18.74 0.02 3.44580635416
I 18.87 0.11 3.44999535416
R 19.54 0.06 3.44999535416
Ks 17.54 0.02 3.45047635416
r 19.28 0.01 3.45047635416
Y 18.053540582 0.0348967018551 3.45405135417
z 18.5613837282 0.0335715603031 3.45508165416
u 23.0620125727 0.320547847388 3.45558135416
i 18.7253377929 0.0315727125526 3.45574815417
r 19.2904674945 0.0435129039438 3.45643295416
g 20.9284740878 0.082903420644 3.45711555416
J 17.86 0.02 3.46047635416
Y 17.76 0.01 3.46047635416
V 20.52 0.12 3.46077635416
B 21.72 0.13 3.46657635416
z 18.38 0.05 3.47147635416
g 20.77 0.05 3.47277635417
r 20.18 0.1 3.47447635416
i 18.92 0.05 3.47607635416
r 19.82 0.09 3.47907635416
V 20.55 0.15 3.48707635416
